boundary_action,model,action_index_in_first10,joint,delta_rad,predicted_action_rad
5,trained,5,11,-0.0022179633378982544,-0.14951829612255096
5,trained,6,0,-0.023421436548233032,-0.02848777174949646
5,trained,6,1,-0.024371862411499023,-1.6948587894439697
5,trained,6,2,-0.0019311904907226562,1.474739670753479
5,trained,6,3,0.016010403633117676,1.2052733898162842
5,trained,6,4,-0.04846769571304321,-0.48865875601768494
5,trained,6,5,0.0033195912837982178,-0.14998774230480194
5,trained,6,6,-0.02312275767326355,-0.05751696228981018
5,trained,6,7,-0.03941154479980469,-1.721846342086792
5,trained,6,8,-0.01614975929260254,1.4844660758972168
5,trained,6,9,0.0306473970413208,1.2147785425186157
5,trained,6,10,0.022585272789001465,0.31311213970184326
5,trained,6,11,-0.0038552284240722656,-0.14840178191661835
5,trained,7,0,-0.05572041869163513,-0.0551811158657074
5,trained,7,1,-0.007592916488647461,-1.6812660694122314
5,trained,7,2,-0.015192985534667969,1.4619777202606201
5,trained,7,3,0.0198822021484375,1.2061456441879272
5,trained,7,4,-0.08503612875938416,-0.515009880065918
5,trained,7,5,0.0029875338077545166,-0.14899204671382904
5,trained,7,6,0.010199934244155884,-0.01928389072418213
5,trained,7,7,-0.00858604907989502,-1.6929963827133179
5,trained,7,8,-0.034956932067871094,1.4731242656707764
5,trained,7,9,0.02023303508758545,1.2016578912734985
5,trained,7,10,0.036446720361709595,0.3322450816631317
5,trained,7,11,-0.0021368861198425293,-0.14831481873989105
5,trained,8,0,-0.019752562046051025,-0.019390881061553955
5,trained,8,1,0.0029360055923461914,-1.6748738288879395
5,trained,8,2,-0.018316268920898438,1.4565997123718262
5,trained,8,3,0.014262557029724121,1.1993614435195923
5,trained,8,4,-0.047719329595565796,-0.48074108362197876
5,trained,8,5,0.0015935152769088745,-0.15371572971343994
5,trained,8,6,0.021795272827148438,-0.002481013536453247
5,trained,8,7,-0.021816253662109375,-1.6925086975097656
5,trained,8,8,-0.03864789009094238,1.4815363883972168
5,trained,8,9,-0.0013083219528198242,1.1718530654907227
5,trained,8,10,0.03506547212600708,0.32576867938041687
5,trained,8,11,0.0030983537435531616,-0.14730562269687653
5,trained,9,0,-0.012746840715408325,-0.01340743899345398
5,trained,9,1,-0.021737217903137207,-1.7099374532699585
5,trained,9,2,0.009837627410888672,1.485792636871338
5,trained,9,3,0.02567887306213379,1.2071747779846191
5,trained,9,4,-0.046494513750076294,-0.46498873829841614
5,trained,9,5,-0.0020885169506073,-0.1540406197309494
5,trained,9,6,0.0012172162532806396,-0.0170896053314209
5,trained,9,7,-0.0273892879486084,-1.6997710466384888
5,trained,9,8,-0.035930633544921875,1.4946010112762451
5,trained,9,9,0.029616117477416992,1.1840542554855347
5,trained,9,10,0.023153066635131836,0.31964659690856934
5,trained,9,11,-0.002531781792640686,-0.1526465117931366
10,baseline,0,0,-0.06931397318840027,-0.08527499437332153
10,baseline,0,1,0.19919109344482422,-1.4765534400939941
10,baseline,0,2,-0.1777350902557373,1.295341968536377
10,baseline,0,3,0.034494996070861816,1.2270358800888062
10,baseline,0,4,-0.11112856864929199,-0.5600320100784302
10,baseline,0,5,0.0060617923736572266,-0.1440616399049759
10,baseline,0,6,0.10127457976341248,0.07669603824615479
10,baseline,0,7,0.23399507999420166,-1.4563097953796387
10,baseline,0,8,-0.237959623336792,1.2717905044555664
10,baseline,0,9,-0.03163135051727295,1.1548912525177002
10,baseline,0,10,-0.033315420150756836,0.25729262828826904
10,baseline,0,11,0.010209143161773682,-0.13709118962287903
10,baseline,1,0,-0.1051638126373291,-0.11023014783859253
10,baseline,1,1,0.29763269424438477,-1.372854232788086
10,baseline,1,2,-0.27166271209716797,1.2050081491470337
