checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000075,5,8,11,0.008228465914726257,0.008228465914726257
step_000075,5,9,0,0.07954888045787811,0.07954888045787811
step_000075,5,9,1,0.02331840991973877,0.02331840991973877
step_000075,5,9,2,-0.027912378311157227,0.027912378311157227
step_000075,5,9,3,-0.01487720012664795,0.01487720012664795
step_000075,5,9,4,-0.14368227124214172,0.14368227124214172
step_000075,5,9,5,0.005855992436408997,0.005855992436408997
step_000075,5,9,6,0.10044977068901062,0.10044977068901062
step_000075,5,9,7,0.11977577209472656,0.11977577209472656
step_000075,5,9,8,-0.2697019577026367,0.2697019577026367
step_000075,5,9,9,0.08390438556671143,0.08390438556671143
step_000075,5,9,10,0.15956181287765503,0.15956181287765503
step_000075,5,9,11,0.04834085702896118,0.04834085702896118
step_000075,5,10,0,0.09646065533161163,0.09646065533161163
step_000075,5,10,1,-0.044059157371520996,0.044059157371520996
step_000075,5,10,2,0.026019573211669922,0.026019573211669922
step_000075,5,10,3,-0.008382320404052734,0.008382320404052734
step_000075,5,10,4,-0.09900903701782227,0.09900903701782227
step_000075,5,10,5,0.005369976162910461,0.005369976162910461
step_000075,5,10,6,0.068087637424469,0.068087637424469
step_000075,5,10,7,0.06209719181060791,0.06209719181060791
step_000075,5,10,8,-0.23392987251281738,0.23392987251281738
step_000075,5,10,9,0.10603344440460205,0.10603344440460205
step_000075,5,10,10,0.12544667720794678,0.12544667720794678
step_000075,5,10,11,0.009660884737968445,0.009660884737968445
step_000075,10,1,0,0.005803853273391724,0.005803853273391724
step_000075,10,1,1,-0.019257664680480957,0.019257664680480957
step_000075,10,1,2,0.0223846435546875,0.0223846435546875
step_000075,10,1,3,0.026562213897705078,0.026562213897705078
step_000075,10,1,4,-0.06825798749923706,0.06825798749923706
step_000075,10,1,5,0.0033600032329559326,0.0033600032329559326
step_000075,10,1,6,0.03331616520881653,0.03331616520881653
step_000075,10,1,7,0.011412501335144043,0.011412501335144043
step_000075,10,1,8,-0.1535806655883789,0.1535806655883789
step_000075,10,1,9,0.026934027671813965,0.026934027671813965
step_000075,10,1,10,-0.051263585686683655,0.051263585686683655
step_000075,10,1,11,0.0119875967502594,0.0119875967502594
step_000075,10,2,0,-0.04179742932319641,0.04179742932319641
step_000075,10,2,1,-0.006488323211669922,0.006488323211669922
step_000075,10,2,2,0.026071667671203613,0.026071667671203613
step_000075,10,2,3,0.005349636077880859,0.005349636077880859
step_000075,10,2,4,-0.04158073663711548,0.04158073663711548
step_000075,10,2,5,0.0070415884256362915,0.0070415884256362915
step_000075,10,2,6,0.012427210807800293,0.012427210807800293
step_000075,10,2,7,0.006374955177307129,0.006374955177307129
step_000075,10,2,8,-0.08081686496734619,0.08081686496734619
step_000075,10,2,9,-0.0038280487060546875,0.0038280487060546875
step_000075,10,2,10,-0.025606662034988403,0.025606662034988403
step_000075,10,2,11,-0.0004147738218307495,0.0004147738218307495
step_000075,10,3,0,-0.04994851350784302,0.04994851350784302
step_000075,10,3,1,-0.026082515716552734,0.026082515716552734
step_000075,10,3,2,-0.002187013626098633,0.002187013626098633
step_000075,10,3,3,0.013094782829284668,0.013094782829284668
step_000075,10,3,4,-0.14907506108283997,0.14907506108283997
step_000075,10,3,5,0.0047116875648498535,0.0047116875648498535
step_000075,10,3,6,-0.006531774997711182,0.006531774997711182
step_000075,10,3,7,-0.11370563507080078,0.11370563507080078
step_000075,10,3,8,-0.0947110652923584,0.0947110652923584
step_000075,10,3,9,0.08082401752471924,0.08082401752471924
step_000075,10,3,10,0.022990942001342773,0.022990942001342773
