boundary_action,probe,local_action,global_action,action_l2_rad,per_joint_rms_rad
5,old-left-only,1,6,0.24938643476976458,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,2,7,0.19213394131539818,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,3,8,0.09521284055836433,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,4,9,0.09637670847302038,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,5,10,0.10589330486785974,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,6,11,0.07544787334377553,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,7,12,0.09834748327226023,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,8,13,0.41130498460102244,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,9,14,0.48245123119137373,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-left-only,10,15,0.3450356087060481,"[0.05501737728231883, 0.08146015427197151, 0.07698157341968594, 0.013679944045115668, 0.13834929293255488, 0.00975734378745389, 0.04550109788699521, 0.09529888394161737, 0.11970490174625828, 0.041998070582264124, 0.06492684425577024, 0.005443063832683072]"
5,old-right-only,1,6,0.2730362813261986,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,2,7,0.21002567884797074,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,3,8,0.09872170580520373,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,4,9,0.09858716595747995,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,5,10,0.10669452255472361,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,6,11,0.07819419657633175,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,7,12,0.10151636500880235,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,8,13,0.510815031226203,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,9,14,0.6242037334896865,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-right-only,10,15,0.5024506627013,"[0.04902388180488062, 0.11472136363697279, 0.11006982488690902, 0.026918358886351672, 0.1539982389919534, 0.007857746658912165, 0.057131404258850486, 0.13869961313718301, 0.14920484308939408, 0.04812196941460646, 0.08708665999626775, 0.007055868054678458]"
5,old-both-wrists,1,6,0.23422588487206986,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,2,7,0.18243597180794524,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
